#random sampling: 1000																															
Gene	JS_YC_bin_221	SD_DY_bin_343	SD_DY_bin_156	JS_YC_bin_164	JS_LYG_bin_42	SD_QD_bin_87	HN_SY_bin_61	ZJ_NB_bin_117	GD_ZH_bin_112	JS_LYG_bin_20	SD_DY_bin_7	JS_LYG_bin_19	ZJ_WZ_bin_184	GD_ZH_bin_260	SD_DY_bin_417	GX_BH_bin_82	SD_DY_bin_227	GD_ZH_bin_224	JS_LYG_bin_103	GD_ST_bin_83	ZJ_NB_bin_158	GX_BH_bin_20	ZJ_NB_bin_115	SD_DY_bin_76	ZJ_WZ_bin_243	SD_DY_bin_75	ZJ_NB_bin_129	JS_LYG_bin_132	LN_DD_bin_95	SD_DY_bin_480	SD_QD_bin_67
gfa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
glpX	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
glyA	1	1	1	2	2	3	4	1	3	2	1	2	1	2	2	5	2	4	1	2	3	3	4	0	2	1	4	2	1	2	1
gpmB	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	1	1	0
gpmI	0	1	0	1	0	1	1	0	0	2	0	0	1	1	1	2	0	0	0	0	0	1	1	0	0	1	2	0	3	0	2
hdrA1	0	0	0	0	2	1	1	3	0	2	0	0	0	0	0	5	0	0	1	0	2	0	0	0	0	0	1	5	1	0	2
hdrA2	0	0	0	0	0	3	3	9	0	0	0	0	0	0	0	18	0	0	2	0	3	0	1	0	1	0	0	5	3	0	0
hdrB1	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	3	0	1	3	2	0	1
hdrB2	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	1	0	0	2	0	0	1
hdrC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2
