Kingdom	Phylum	Class	Order	Family	Genus
ASV22685	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22686	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22687	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22688	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22690	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22691	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22692	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV22693	Archaea	NA	NA	NA	NA	NA
ASV22694	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22695	Archaea	NA	NA	NA	NA	NA
ASV22696	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV22697	Archaea	NA	NA	NA	NA	NA
ASV22698	Archaea	Aenigmarchaeota	Candidatus_Aenigmarchaeum	NA	NA	NA
ASV22699	Archaea	Euryarchaeota	NA	NA	NA	NA
ASV22700	Archaea	Euryarchaeota	NA	NA	NA	NA
ASV22701	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22702	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV22703	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides
ASV22704	Archaea	Diapherotrites	NA	NA	NA	NA
ASV22705	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22706	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22707	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	NA
ASV22708	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halovenus
ASV22709	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22710	Archaea	Euryarchaeota	NA	NA	NA	NA
ASV22712	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22713	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV22714	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22715	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	NA	NA
ASV22716	Archaea	NA	NA	NA	NA	NA
ASV22717	Archaea	NA	NA	NA	NA	NA
ASV22718	Archaea	Euryarchaeota	NA	NA	NA	NA
ASV22720	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22722	Archaea	NA	NA	NA	NA	NA
ASV22723	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	NA	NA
ASV22724	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22728	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halolamina
ASV22730	Archaea	NA	NA	NA	NA	NA
ASV22732	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22733	Archaea	Diapherotrites	Candidatus_Iainarchaeum	NA	NA	NA
ASV22734	Archaea	NA	NA	NA	NA	NA
ASV22736	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22737	Archaea	NA	NA	NA	NA	NA
ASV22738	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22739	Archaea	Euryarchaeota	NA	NA	NA	NA
ASV22740	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22741	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	NA	NA
ASV22742	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	NA
ASV22743	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22746	Archaea	Euryarchaeota	NA	NA	NA	NA
ASV22747	Archaea	NA	NA	NA	NA	NA
ASV22748	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	NA
ASV22749	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	NA
ASV22750	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	NA
ASV22751	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	NA	NA
ASV22752	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22754	Archaea	Euryarchaeota	NA	NA	NA	NA
ASV22756	Archaea	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	NA
ASV22757	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22758	Archaea	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	NA
ASV22759	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22760	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22761	Archaea	NA	NA	NA	NA	NA
ASV22762	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22763	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22764	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22765	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22766	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermogladius
ASV22767	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22769	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22770	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV22771	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22773	Archaea	NA	NA	NA	NA	NA
ASV22776	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22778	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	NA	NA
ASV22782	Archaea	NA	NA	NA	NA	NA
ASV22783	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22784	Archaea	NA	NA	NA	NA	NA
ASV22786	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22787	Archaea	NA	NA	NA	NA	NA
ASV22788	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	NA	NA
ASV22789	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanotrichaceae	Methanothrix
ASV22790	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22792	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22796	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22798	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	NA	NA
ASV22800	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22801	Archaea	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	NA
ASV22802	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22804	Archaea	Aenigmarchaeota	Candidatus_Aenigmarchaeum	NA	NA	NA
ASV22805	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22806	Archaea	Euryarchaeota	NA	NA	NA	NA
ASV22807	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22808	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22810	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22811	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22812	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halogranum
ASV22813	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22814	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22815	Archaea	NA	NA	NA	NA	NA
ASV22816	Archaea	NA	NA	NA	NA	NA
ASV22819	Archaea	NA	NA	NA	NA	NA
ASV22820	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV22821	Archaea	NA	NA	NA	NA	NA
ASV22822	Archaea	NA	NA	NA	NA	NA
ASV22824	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermogladius
ASV22825	Archaea	NA	NA	NA	NA	NA
ASV22826	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22828	Archaea	NA	NA	NA	NA	NA
ASV22831	Archaea	NA	NA	NA	NA	NA
ASV22832	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV22833	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	NA	NA
ASV22834	Archaea	NA	NA	NA	NA	NA
ASV22835	Archaea	NA	NA	NA	NA	NA
ASV22836	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22837	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22838	Archaea	NA	NA	NA	NA	NA
ASV22840	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22841	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV22842	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22843	Archaea	NA	NA	NA	NA	NA
ASV22844	Archaea	NA	NA	NA	NA	NA
ASV22846	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermogladius
ASV22848	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Caldisphaeraceae	Caldisphaera
ASV22849	Archaea	NA	NA	NA	NA	NA
ASV22850	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides
ASV22855	Archaea	Diapherotrites	Candidatus_Iainarchaeum	NA	NA	NA
ASV22858	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV22860	Archaea	NA	NA	NA	NA	NA
ASV22862	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22864	Archaea	NA	NA	NA	NA	NA
ASV22865	Archaea	NA	NA	NA	NA	NA
ASV22867	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV22868	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22870	Archaea	NA	NA	NA	NA	NA
ASV22871	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	NA	NA
ASV22872	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV22873	Archaea	NA	NA	NA	NA	NA
ASV22876	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	NA
ASV22879	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22881	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22882	Archaea	NA	NA	NA	NA	NA
ASV22883	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV22885	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22886	Archaea	NA	NA	NA	NA	NA
ASV22889	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides
ASV22891	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosalsum
ASV22892	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22893	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV22894	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	NA	NA
ASV22895	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22896	Archaea	NA	NA	NA	NA	NA
ASV22897	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	NA	NA
ASV22898	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22899	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanotrichaceae	Methanothrix
ASV22900	Archaea	NA	NA	NA	NA	NA
ASV22902	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV22903	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV22904	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22906	Archaea	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	NA
ASV22907	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22908	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22909	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	NA
ASV22910	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	NA	NA
ASV22912	Archaea	NA	NA	NA	NA	NA
ASV22913	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22914	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22915	Archaea	Woesearchaeota	Woesearchaeota_Incertae_Sedis_AR16	NA	NA	NA
ASV22916	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22917	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22918	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22920	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22921	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV22922	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22923	Archaea	NA	NA	NA	NA	NA
ASV22924	Archaea	Euryarchaeota	NA	NA	NA	NA
ASV22925	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22926	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22927	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV22929	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22930	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22931	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22932	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22933	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22934	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22935	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV22936	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22937	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22938	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	NA
ASV22939	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22940	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	NA	NA
ASV22941	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	NA	NA
ASV22942	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	NA
ASV22943	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	NA	NA
ASV22944	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	NA	NA
ASV22945	Archaea	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	NA
ASV22946	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22947	Archaea	Aenigmarchaeota	Candidatus_Aenigmarchaeum	NA	NA	NA
ASV22948	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22949	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22950	Archaea	Euryarchaeota	NA	NA	NA	NA
ASV22951	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22952	Archaea	NA	NA	NA	NA	NA
ASV22953	Archaea	NA	NA	NA	NA	NA
ASV22954	Archaea	NA	NA	NA	NA	NA
ASV22955	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22956	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22957	Archaea	NA	NA	NA	NA	NA
ASV22958	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV22959	Archaea	NA	NA	NA	NA	NA
ASV22960	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22961	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22962	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22963	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22964	Archaea	NA	NA	NA	NA	NA
ASV22965	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV22966	Archaea	NA	NA	NA	NA	NA
ASV22967	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22968	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV22969	Archaea	Euryarchaeota	Halobacteria	NA	NA	NA
ASV22970	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22971	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22972	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22973	Archaea	NA	NA	NA	NA	NA
ASV22974	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22977	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22979	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax
ASV22982	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV22983	Archaea	NA	NA	NA	NA	NA
ASV22984	Archaea	NA	NA	NA	NA	NA
ASV22985	Archaea	NA	NA	NA	NA	NA
ASV22988	Archaea	NA	NA	NA	NA	NA
ASV22989	Archaea	Euryarchaeota	Halobacteria	NA	NA	NA
ASV22990	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
ASV22993	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22994	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	NA	NA
ASV22996	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV22997	Archaea	Euryarchaeota	NA	NA	NA	NA
ASV23000	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV23002	Archaea	Woesearchaeota	Woesearchaeota_Incertae_Sedis_AR15	NA	NA	NA
ASV23005	Archaea	NA	NA	NA	NA	NA
ASV23010	Archaea	NA	NA	NA	NA	NA
ASV23011	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV23012	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	NA
ASV23014	Archaea	NA	NA	NA	NA	NA
ASV23015	Archaea	NA	NA	NA	NA	NA
ASV23017	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV23019	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides
ASV23021	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	NA	NA
ASV23023	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV23024	Archaea	Woesearchaeota	Woesearchaeota_Incertae_Sedis_AR18	NA	NA	NA
ASV23025	Archaea	NA	NA	NA	NA	NA
ASV23030	Archaea	NA	NA	NA	NA	NA
ASV23033	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV23034	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV23035	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV23037	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV23041	Archaea	NA	NA	NA	NA	NA
ASV23047	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV23048	Archaea	Euryarchaeota	NA	NA	NA	NA
ASV23049	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Salinigranum
ASV23051	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV23052	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV23054	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	NA
ASV23055	Archaea	NA	NA	NA	NA	NA
ASV23056	Archaea	NA	NA	NA	NA	NA
ASV23057	Archaea	NA	NA	NA	NA	NA
ASV23058	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Salinigranum
ASV23059	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV23061	Archaea	NA	NA	NA	NA	NA
ASV23063	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halolamina
ASV23064	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	NA
ASV23068	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorussus
ASV23069	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	NA	NA
ASV23071	Archaea	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	NA
ASV23072	Archaea	Euryarchaeota	NA	NA	NA	NA
ASV23073	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	NA
ASV23074	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	NA
ASV23076	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	NA
ASV23077	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	NA
ASV23078	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV23079	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV23080	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	NA	NA
ASV23082	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV23084	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV23085	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV23086	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV23087	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	NA
ASV23088	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV23089	Archaea	NA	NA	NA	NA	NA
ASV23090	Archaea	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	NA
ASV23091	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV23092	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV23093	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV23094	Archaea	NA	NA	NA	NA	NA
ASV23095	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV23096	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	NA
ASV23097	Archaea	NA	NA	NA	NA	NA
ASV23098	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV23099	Archaea	Euryarchaeota	NA	NA	NA	NA
ASV23100	Archaea	Euryarchaeota	NA	NA	NA	NA
ASV23101	Archaea	Euryarchaeota	Halobacteria	NA	NA	NA
ASV23102	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV23103	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Salinigranum
ASV23104	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV23105	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV23106	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermogladius
ASV23107	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermogladius
ASV23108	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV23109	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV23110	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides
ASV23111	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV23112	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides
ASV23113	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Caldisphaeraceae	Caldisphaera
ASV23114	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV23115	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV23116	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV23117	Archaea	NA	NA	NA	NA	NA
ASV23118	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	NA	NA
ASV23119	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV23120	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV23121	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	NA
ASV23122	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV23123	Archaea	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	NA
ASV23124	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
