BH10_FDSW220017130-1r	BH12_FDSW220017132-1r	BH14_FDSW220017134-1r	BH15_FDSW220017135-1r	BH2_FDSW220017122-1r	BH4_FDSW220017124-1r	BH6_FDSW220017126-1r	BH8_FDSW220017128-1r	DD11_FDSW220008398-1r	DD13_FDSW220008400-2r	DD15_FDSW220008402-2r	DD1_FDSW220008388-1r	DD3_FDSW220008390-2r	DD5_FDSW220008392-2r	DD7_FDSW220008394-1r	DD9_FDSW220008396-1r	DY10_FDME210438608-1r	DY11_FDME210438609-1r	DY13_FDME210438611-1b	DY15_FDME210438613-1r	DY2_FDME210438600-1b	DY3_FDME210438601-1r	DY6_FDME210438604-1r	DY7_FDME210438605-1r	LYG11_FDME210455392-2r	LYG13_FDME210455394-1a	LYG15_FDME210455396-1a	LYG1_FDME210455382-1r	LYG3_FDME210455384-1r	LYG5_FDME210455386-1r	LYG6_FDME210455387-1r	LYG7_FDME210455388-1r	NB11_FDME210455362-1b	NB12_FDME210455363-1r	NB15_FDME210455366-1r	NB1_FDME210455352-1r	NB2_FDME210455353-1r	NB4_FDME210455355-1r	NB6_FDME210455357-1r	NB7_FDME210455358-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r	ST10_L1	ST12_L1	ST13_L1	ST15_L1	ST1_FDME220007465-1r	ST3_L1	ST7_FDME220007471-1r	ST9_L1	SY11_FDME210455407-1r	SY12_FDME210455408-1r	SY13_FDME210455409-2a	SY15_FDME210455411-2a	SY1_FDME210455397-2a	SY3_FDME210455399-2a	SY7_FDME210455403-2a	SY9_FDME210455405-2a	WZ10_L1	WZ11_L1	WZ14_L1	WZ15_FDME210455471-1r	WZ1_L1	WZ3_L1	WZ5_L1	WZ7_FDME210455463-1r	XM10_FDME220007444-1r	XM12_FDME220007446-1r	XM14_FDME220007448-1r	XM15_FDME220007449-1r	XM2_FDME220007436-1r	XM4_FDME220007438-1r	XM6_FDME220007440-1r	XM8_FDME220007442-1r	YC11_FDME220007415-1r	YC13_FDME220007417-1r	YC15_FDME220007419-1r	YC1_FDME220007405-1r	YC3_FDME220007407-1r	YC5_FDME220007409-1r	YC7_FDME220007411-1a	YC9_FDME220007413-1r	ZH11_FDSW220008794-2r	ZH13_FDSW220008796-2r	ZH15_FDSW220008798-2r	ZH1_FDSW220008784-1r	ZH3_FDSW220008786-1r	ZH5_FDSW220008788-1r	ZH7_FDSW220008790-1r	ZH9_FDSW220008792-2r
K00023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
K00024	1	2	8	2	0	0	0	0	8	7	9	4	3	3	8	1	9	23	20	11	22	29	17	7	18	16	15	20	15	18	13	15	2	5	5	2	2	2	6	7	7	7	3	7	9	1	7	3	18	16	9	22	19	11	12	14	0	1	0	0	4	6	3	0	3	3	5	6	4	1	4	8	10	7	11	10	5	4	5	10	7	4	2	5	2	4	6	9	14	11	6	0	4	5	3	10
K00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00027	11	4	8	12	17	14	22	9	29	26	35	33	25	24	53	16	3	13	9	7	11	16	3	2	8	19	6	14	8	7	9	16	10	14	7	17	7	13	14	12	20	16	12	10	15	22	15	22	11	20	25	25	9	9	14	16	7	2	12	4	6	7	3	6	14	2	10	10	5	8	13	9	16	16	23	10	10	13	11	19	13	14	12	18	25	26	18	11	9	11	10	8	9	17	9	7
K00029	24	35	8	13	25	17	30	22	1	3	4	2	1	0	1	12	16	5	6	13	7	6	14	10	1	1	0	2	2	0	2	6	2	1	1	6	1	2	1	1	4	5	1	5	6	16	7	8	3	5	5	6	4	29	5	27	0	1	1	3	3	0	5	1	3	3	4	6	4	6	4	14	7	12	6	6	1	10	16	14	7	3	3	5	5	5	1	0	9	6	8	4	10	7	8	10
K00030	2	10	4	7	8	7	9	7	11	10	19	17	9	16	17	21	2	0	3	2	6	11	1	2	8	4	1	10	4	4	6	5	0	1	2	1	1	3	3	8	11	7	14	4	16	15	10	7	10	11	6	0	5	5	4	6	17	3	4	2	5	4	3	2	12	7	7	12	15	12	14	9	11	8	10	11	13	8	4	4	5	5	2	4	3	2	5	3	1	7	3	6	7	6	9	2
K00031	2	0	2	2	1	5	2	5	7	7	10	9	15	10	9	6	12	4	12	8	9	9	12	12	3	1	0	3	4	3	11	13	3	4	7	2	7	3	2	5	4	11	4	6	11	17	2	7	1	4	2	2	2	6	1	8	1	0	4	2	1	4	5	0	5	5	4	3	4	2	5	3	8	6	9	2	5	7	5	10	6	8	6	8	3	4	0	3	3	1	6	4	8	5	3	4
K00033	0	2	11	6	4	0	2	3	1	1	0	4	1	0	1	2	5	6	9	3	5	1	10	5	0	0	0	1	2	0	2	0	5	6	8	10	5	14	14	3	1	5	2	0	2	0	7	4	6	3	5	1	1	0	1	0	12	22	17	7	12	5	11	21	1	1	4	3	3	3	1	5	4	2	5	4	3	3	3	1	6	5	6	5	8	8	2	13	1	7	0	2	0	4	1	1
K00034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00036	0	1	2	1	0	4	5	0	1	1	5	3	5	3	6	3	8	25	12	11	11	6	14	10	0	0	0	1	3	0	1	1	9	10	8	6	5	10	7	11	2	8	2	4	2	2	3	1	9	2	0	5	0	0	1	1	8	5	2	0	4	2	5	2	3	10	3	0	4	5	4	4	4	3	11	6	10	5	13	11	9	12	1	2	6	12	2	3	6	2	2	4	6	3	8	6
K00038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0
K00040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K00042	2	1	9	1	1	2	0	3	8	0	7	0	3	5	2	3	11	7	5	6	2	5	10	9	0	2	0	1	2	1	5	2	6	6	2	2	0	5	4	4	10	16	7	0	24	25	17	37	10	16	11	7	17	3	7	8	3	1	2	0	4	3	0	0	9	16	11	6	12	9	15	6	12	25	19	15	13	6	10	10	4	6	4	5	4	3	3	5	0	2	10	1	7	1	6	1
K00045	0	0	0	0	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00046	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	3	3	3	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	3	3	0	1	0	0	0	1	0	0	0	0	0	0	0	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
K00052	6	8	4	6	1	10	11	3	3	8	5	14	1	6	2	3	0	0	0	0	1	3	0	0	2	4	1	1	5	0	2	5	3	6	1	3	4	2	6	1	1	10	2	1	1	2	0	2	3	3	3	3	5	9	0	9	0	1	4	0	3	4	5	3	0	0	6	2	0	4	3	3	8	6	5	10	1	2	10	8	5	0	3	1	2	4	7	6	13	9	10	9	7	4	12	10
K00053	0	0	9	3	9	7	2	1	10	9	4	9	9	3	15	8	17	16	8	15	14	12	13	14	13	8	9	18	15	15	13	9	12	12	16	11	5	10	5	5	15	7	6	14	11	15	12	13	5	10	12	14	19	11	9	13	5	5	6	3	24	6	16	9	22	12	17	19	21	20	19	17	11	7	11	13	10	11	11	16	14	12	8	7	7	10	9	9	10	22	4	15	12	11	12	6
K00054	6	4	3	0	0	1	9	1	18	13	9	3	17	10	6	28	0	6	6	3	9	28	5	2	3	2	5	3	5	1	3	4	2	12	4	4	1	8	8	11	3	2	5	5	5	1	3	0	7	11	8	8	4	14	11	4	0	4	2	0	4	1	8	5	4	2	5	2	1	3	5	2	7	1	1	3	2	4	4	0	0	1	3	3	0	9	3	5	21	10	20	30	18	17	31	29
K00055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	1	4	0	10	6	4	7	9	15	9	2	0	0	1	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	2	0	2	1	4	1	0	0	0	0	0	0	0	0	1	3	0	3	1	1	3	1	0	0	0	0	0	0	0	0
K00058	17	27	31	36	12	18	23	34	41	48	39	18	36	44	39	38	76	36	23	47	64	19	64	61	45	26	20	39	34	42	28	34	15	18	17	21	11	18	16	25	28	18	39	32	12	9	16	17	43	42	28	34	10	18	15	18	10	4	21	4	27	19	45	9	25	21	18	22	17	32	20	22	30	32	56	41	27	48	47	47	22	23	6	14	20	19	9	15	31	32	48	54	43	41	34	49
K00060	1	0	0	2	2	0	0	0	0	2	0	2	5	2	5	4	1	0	1	0	1	0	1	2	1	0	0	2	1	1	3	0	1	2	1	1	0	4	2	0	0	0	2	2	0	1	0	1	2	1	9	1	2	0	1	7	0	1	2	0	1	2	1	1	4	3	4	4	2	1	4	1	6	2	9	2	4	8	4	4	0	1	1	0	0	2	0	1	7	7	6	5	7	4	6	5
