BH10_FDSW220017130-1r	BH12_FDSW220017132-1r	BH14_FDSW220017134-1r	BH15_FDSW220017135-1r	BH2_FDSW220017122-1r	BH4_FDSW220017124-1r	BH6_FDSW220017126-1r	BH8_FDSW220017128-1r	DD11_FDSW220008398-1r	DD13_FDSW220008400-2r	DD15_FDSW220008402-2r	DD1_FDSW220008388-1r	DD3_FDSW220008390-2r	DD5_FDSW220008392-2r	DD7_FDSW220008394-1r	DD9_FDSW220008396-1r	DY10_FDME210438608-1r	DY11_FDME210438609-1r	DY13_FDME210438611-1b	DY15_FDME210438613-1r	DY2_FDME210438600-1b	DY3_FDME210438601-1r	DY6_FDME210438604-1r	DY7_FDME210438605-1r	LYG11_FDME210455392-2r	LYG13_FDME210455394-1a	LYG15_FDME210455396-1a	LYG1_FDME210455382-1r	LYG3_FDME210455384-1r	LYG5_FDME210455386-1r	LYG6_FDME210455387-1r	LYG7_FDME210455388-1r	NB11_FDME210455362-1b	NB12_FDME210455363-1r	NB15_FDME210455366-1r	NB1_FDME210455352-1r	NB2_FDME210455353-1r	NB4_FDME210455355-1r	NB6_FDME210455357-1r	NB7_FDME210455358-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r	ST10_L1	ST12_L1	ST13_L1	ST15_L1	ST1_FDME220007465-1r	ST3_L1	ST7_FDME220007471-1r	ST9_L1	SY11_FDME210455407-1r	SY12_FDME210455408-1r	SY13_FDME210455409-2a	SY15_FDME210455411-2a	SY1_FDME210455397-2a	SY3_FDME210455399-2a	SY7_FDME210455403-2a	SY9_FDME210455405-2a	WZ10_L1	WZ11_L1	WZ14_L1	WZ15_FDME210455471-1r	WZ1_L1	WZ3_L1	WZ5_L1	WZ7_FDME210455463-1r	XM10_FDME220007444-1r	XM12_FDME220007446-1r	XM14_FDME220007448-1r	XM15_FDME220007449-1r	XM2_FDME220007436-1r	XM4_FDME220007438-1r	XM6_FDME220007440-1r	XM8_FDME220007442-1r	YC11_FDME220007415-1r	YC13_FDME220007417-1r	YC15_FDME220007419-1r	YC1_FDME220007405-1r	YC3_FDME220007407-1r	YC5_FDME220007409-1r	YC7_FDME220007411-1a	YC9_FDME220007413-1r	ZH11_FDSW220008794-2r	ZH13_FDSW220008796-2r	ZH15_FDSW220008798-2r	ZH1_FDSW220008784-1r	ZH3_FDSW220008786-1r	ZH5_FDSW220008788-1r	ZH7_FDSW220008790-1r	ZH9_FDSW220008792-2r
K06187	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	5	0	1	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
K06188	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	1	1	1	4	0	0	2	0	0	0	0	0	0	1	1	1	0	0	7	11	6	3	12	12	9	14	3	6	2	1	6	3	6	0	0	0	0	0	0	2	2	1	4	9	3	2	0	1	7	6	4	7	0	3	1	5	2	3	3	2	2	1	0	1	2	0	2	3	5	0	1	1	1	3
K06189	1	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	4	5	3	2	4	6	2	10	0	0	0	0	0	0	0	0	2	7	2	1	2	1	2	2	3	4	2	0	8	19	15	11	2	0	1	0	4	0	3	0	0	0	0	0	2	2	0	0	1	1	2	4	2	3	4	1	5	0	2	6	9	5	0	1	2	2	0	0	1	2	3	0	0	1	2	0	1	1	1	3
K06193	0	0	0	0	0	0	0	0	0	1	1	0	2	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	3	0	0	1	0	0	0	0	1	0	0
K06196	12	11	9	7	9	4	10	7	3	2	0	0	2	1	2	1	4	2	14	9	7	3	11	9	2	1	4	2	1	2	1	2	11	9	5	5	2	3	4	3	4	1	2	4	4	0	1	2	4	7	1	2	1	0	1	0	1	5	5	4	6	1	5	1	2	5	3	3	1	6	5	6	1	2	0	1	2	2	1	1	2	0	0	0	2	0	3	0	0	4	0	1	0	2	3	0
K06197	0	0	4	1	0	0	0	2	2	5	6	3	6	0	3	5	0	0	1	0	1	0	0	0	3	5	7	4	4	3	6	8	0	0	0	0	0	0	0	0	12	11	10	9	2	5	3	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	6	14	5	11	15	14	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
K06198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
K06199	0	6	13	2	0	0	2	1	1	0	2	3	3	1	0	2	9	8	4	9	7	5	7	12	0	0	0	0	1	0	2	0	4	0	3	3	1	0	3	0	2	1	3	3	2	4	5	6	2	3	1	1	0	1	1	2	2	1	2	1	3	0	3	0	0	3	3	2	4	4	3	5	0	0	1	0	0	0	1	0	6	5	1	0	2	1	2	4	0	1	0	0	1	1	1	0
K06200	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	3	6	4	12	7	5	17	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	4	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	2	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K06201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	2	0
K06204	0	0	0	0	0	0	0	2	1	2	2	0	4	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K06206	1	3	5	7	6	2	6	9	2	0	1	0	5	0	0	1	0	0	0	1	0	0	1	1	10	5	3	9	9	16	4	3	1	1	0	1	0	1	1	2	0	1	9	8	0	0	0	2	4	5	5	0	2	0	2	2	3	6	3	2	5	7	10	1	0	2	2	2	0	0	1	0	4	5	8	7	11	11	8	1	3	1	0	3	1	1	2	1	3	1	2	1	1	3	1	5
K06207	1	4	0	4	1	5	1	0	4	15	14	7	5	1	18	3	1	3	0	0	1	3	0	0	0	0	0	1	0	0	0	4	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	3	0	2	1	0	1	0	1	1	0	0	0	0	0	2	0	0	2	1	1	0	1	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06210	0	0	0	0	0	0	0	0	2	1	3	0	2	0	0	2	1	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06211	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	1	1	1	0	0	0	0	1	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K06212	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	0	0	1	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06213	1	2	3	2	0	4	0	3	3	0	3	0	0	4	2	2	10	10	4	4	7	7	4	12	1	0	0	1	0	0	3	0	1	4	3	4	1	3	1	5	0	1	0	0	0	0	0	0	2	2	0	2	1	25	2	1	2	2	4	0	0	3	3	6	2	1	2	1	1	1	1	0	2	2	0	1	2	1	6	0	0	0	0	0	0	0	0	0	3	6	4	7	8	12	6	6
K06214	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	4	4	1	1	0	0	0	2	1	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	5	1	1	4	3	1	0	0	5	3	1	6	0	3	1	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0
K06215	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	2	2	2	0	1	3	2	1	1	2	0	0	1	0	2	0	1	3	1	8	7	2	4	3	5	8	3	3	6	1	2	0	3	4	16	1	5	4	3	0	0	0	0	1	0	4	0	0	0	0	1	0	1	1	0	0	3	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	5	6	4	10	7	4	9
K06217	1	6	1	3	5	2	2	2	7	11	10	29	8	16	14	10	0	0	3	0	1	1	3	1	0	9	0	6	10	0	5	10	11	4	11	7	11	5	11	9	14	11	6	3	10	3	5	9	1	1	0	0	2	0	3	0	3	1	2	2	0	0	1	7	8	17	12	11	8	12	10	8	4	9	3	7	4	4	3	3	3	4	3	1	9	4	3	2	3	2	2	4	4	5	2	1
K06218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06219	1	2	2	4	1	6	5	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	3	1	3	1	2	4	2	2	0	0	0	0	0	0	0	0	1	1	0	0	2	2	0	0	1	3	1	0	0	0	1	2	1	1	0	2	0	0	0	0	5	3	2	3	3	1	8	2
K06221	1	2	0	3	0	0	0	0	1	1	0	3	0	0	1	1	2	2	4	0	2	0	2	2	1	1	1	1	0	0	3	6	1	2	1	2	0	2	1	2	1	3	0	0	2	2	1	6	0	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	1	0	1	4	0	4	3	4	1	1	1	0	1	2	1	1	1	0	3	0	0	0	0	0	0	1	0	0	0	1	0	1
K06222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	26	14	28	21	8	23	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
K06223	3	5	5	3	2	0	6	4	10	8	11	8	2	9	7	13	7	2	7	3	12	1	7	4	6	1	1	4	4	6	12	10	24	19	18	28	13	13	18	20	23	23	23	3	29	26	21	22	6	6	4	3	5	6	7	1	24	40	20	25	56	11	38	29	18	27	15	21	16	36	14	17	7	9	7	2	10	12	7	13	14	8	13	15	11	22	17	11	7	4	8	3	2	7	2	6
K06226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06233	0	0	0	0	2	2	2	4	0	0	0	1	1	0	0	1	0	6	5	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	3	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	2	0	0	0	0	4	2	2	0	3	0	1	0	2	0	0	1	0	0	1	0
K06234	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	1	0	2	1	0	0	2	0	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	1	0	0	3	1	1	0	0	1	0	1	0	1	2	2	0	0	0	0	0
K06236	0	0	0	0	0	0	0	0	2	0	3	0	0	1	2	4	0	4	8	7	1	2	4	0	0	1	0	0	1	0	1	1	0	2	7	2	0	4	3	1	5	4	2	1	13	8	13	13	4	4	1	0	9	2	1	0	0	0	0	0	0	0	0	0	7	12	10	5	8	7	8	5	3	3	2	2	3	1	0	4	2	0	3	0	1	1	0	0	1	2	6	1	4	1	2	1
K06237	0	0	1	0	0	0	0	0	4	1	4	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	2	0	1	0	1	0	0	2	1	1	6	1	2	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
K06238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
K06240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06241	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06252	11	35	12	8	11	10	26	23	5	3	4	2	1	2	6	2	1	0	1	0	0	2	1	0	0	3	0	2	1	0	0	5	5	11	6	6	3	2	3	9	3	6	4	4	2	10	5	2	9	1	7	1	6	26	7	7	5	4	0	6	6	3	11	3	20	16	7	5	5	21	17	16	3	4	4	5	3	1	8	12	4	2	1	3	1	2	4	6	12	9	9	10	8	6	10	5
K06254	1	0	2	6	1	6	3	2	3	1	0	0	0	1	3	4	1	1	1	0	9	0	1	3	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	2	2	2	0	2	9	0	1	10	4	4	4	3	6	2	5	0	0	5	3	0	3	0	0	1	0	2	0	1	2	1	2	12	14	7	8	6	6	6	4	1	1	1	0	2	4	1	0	0	0	0	0	0	0	1	1
K06255	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	41	13	23	0	7	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
K06259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	6	0	2	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
K06265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
K06268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06269	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	2	0	7	3	4	7	0	6	4	4	4	0	1	2	1	1	0	1	0	1	5	0	5	1	2	2	0	0	0	0	0	0	0	0	2	3	1	1	2	1	2	0	0	1	2	1	0	0	0	1	3	5	0	1	2	1	3	5	1	0	0	2	0	0	1	1
K06271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0
K06273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06277	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06281	0	1	1	1	1	0	0	0	1	2	0	3	4	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	0	2	0	1	1	0	1	1	2	0	2	1	2	0	0	4	0	2	0	0	1	1	2	0	0	1	1	3	0	4	1	16	1	6	2	11	10	7	7	3	4	8	4	3	4	0	2	0	0	1	0	0	1	0	0	14	18	11	14	10	4	2	5
K06282	0	0	0	2	0	0	1	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	3	0	0	1	0	2	1	1	0	2	1	1	3	0	3	5	2	1	8	1	5	2	2	2	0	3	1	0	0	0	3	1	1	3	1	4	4	5	3	6	4	2	3	6	1	0	2	5	0	4	6	0	3	3	7	1	0	0	0	0	0	0	0	9	9	10	9	7	10	10	9
K06287	8	1	4	5	6	5	8	3	1	0	2	0	1	1	0	2	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	1	0	1	1	3	1	0	1	0	3	3	1	5	1	0	3	0	2	1	1	3	0	1	1	0	5	3	3	2	2	0	6	3	3	1	0	0	0	1	0	2	3	0	2	2	3	5	2	0	0	2	2	0	1	6	2	0	3	3	0	3	1	2	0	1
K06346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K06373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	2	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0
K06400	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	2	0	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	2	0	1	2	1	2	0
K06412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06415	0	2	0	4	6	0	0	0	0	0	0	0	0	0	0	0	7	5	5	4	6	0	5	10	1	5	5	8	4	3	4	0	7	6	5	2	3	4	2	3	11	22	3	1	5	2	2	3	4	1	0	0	1	1	3	2	17	18	2	2	4	15	8	15	1	5	7	8	10	2	4	5	0	0	1	5	1	0	0	0	0	0	1	1	3	1	0	0	0	0	0	0	0	0	1	0
K06416	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	1	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	2	1	3	2	0	3
K06443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	1	2	4	3	3	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	4	0	0	0	0	0	0	0	0
K06445	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
