id1	id2	similarity	distance
CXD_1412_FDSW210423229-1r	BH10_FDSW220017130-1r	0.5210328524669661	2003105.34066145
CXD_1414_FDSW210423231-1r	BH10_FDSW220017130-1r	0.5200024245363071	2003105.34066145
CXD_1604_FDSW210423236-1r	BH10_FDSW220017130-1r	0.516911140744333	2003105.34066145
CXD_1609_FDSW210423241-1r	BH10_FDSW220017130-1r	0.5014547217844589	2003105.34066145
CXD_1610_FDSW210423242-1r	BH10_FDSW220017130-1r	0.446175293975027	2003105.34066145
CXD_1611_FDSW210423243-1r	BH10_FDSW220017130-1r	0.47242089950296995	2003105.34066145
CXD_1612_FDSW210423244-1r	BH10_FDSW220017130-1r	0.48539216874772695	2003105.34066145
CXD_1613_FDSW210423245-1r	BH10_FDSW220017130-1r	0.466602012365135	2003105.34066145
ST10_L1	BH10_FDSW220017130-1r	0.534670869196266	803071.071627125
ST12_L1	BH10_FDSW220017130-1r	0.48278579221723805	803071.071627125
ST13_L1	BH10_FDSW220017130-1r	0.5348527094193241	803071.071627125
ST15_L1	BH10_FDSW220017130-1r	0.545460055764335	803071.071627125
ST1_FDME220007465-1r	BH10_FDSW220017130-1r	0.476663838040975	803071.071627125
ST3_L1	BH10_FDSW220017130-1r	0.551157716086798	803071.071627125
ST7_FDME220007471-1r	BH10_FDSW220017130-1r	0.524790883743484	803071.071627125
ST9_L1	BH10_FDSW220017130-1r	0.5668565886774151	803071.071627125
SY11_FDME210455407-1r	BH10_FDSW220017130-1r	0.350527336646866	369465.896208882
SY12_FDME210455408-1r	BH10_FDSW220017130-1r	0.32979755121833	369465.896208882
SY13_FDME210455409-2a	BH10_FDSW220017130-1r	0.446235907382713	369465.896208882
SY15_FDME210455411-2a	BH10_FDSW220017130-1r	0.324099890895866	369465.896208882
SY1_FDME210455397-2a	BH10_FDSW220017130-1r	0.478724693902291	369465.896208882
SY3_FDME210455399-2a	BH10_FDSW220017130-1r	0.45490362468178	369465.896208882
SY7_FDME210455403-2a	BH10_FDSW220017130-1r	0.5246090435204269	369465.896208882
SY9_FDME210455405-2a	BH10_FDSW220017130-1r	0.377863983513153	369465.896208882
WZ10_L1	BH10_FDSW220017130-1r	0.511213480421869	1388394.72069791
WZ11_L1	BH10_FDSW220017130-1r	0.47151169838768303	1388394.72069791
WZ14_L1	BH10_FDSW220017130-1r	0.49339313856225	1388394.72069791
WZ15_FDME210455471-1r	BH10_FDSW220017130-1r	0.49854527821554095	1388394.72069791
WZ1_L1	BH10_FDSW220017130-1r	0.498242211177112	1388394.72069791
WZ3_L1	BH10_FDSW220017130-1r	0.495999515092739	1388394.72069791
WZ5_L1	BH10_FDSW220017130-1r	0.48539216874772695	1388394.72069791
WZ7_FDME210455463-1r	BH10_FDSW220017130-1r	0.5258819250818281	1388394.72069791
XM10_FDME220007444-1r	BH10_FDSW220017130-1r	0.579888471329858	971525.926570525
XM12_FDME220007446-1r	BH10_FDSW220017130-1r	0.5431567462722751	971525.926570525
XM14_FDME220007448-1r	BH10_FDSW220017130-1r	0.579221723845315	971525.926570525
XM15_FDME220007449-1r	BH10_FDSW220017130-1r	0.574736331676567	971525.926570525
XM2_FDME220007436-1r	BH10_FDSW220017130-1r	0.546854164141108	971525.926570525
XM4_FDME220007438-1r	BH10_FDSW220017130-1r	0.582131167414232	971525.926570525
XM6_FDME220007440-1r	BH10_FDSW220017130-1r	0.589647229967269	971525.926570525
